"x","y"
"2014-10-29 20:00","1610279"
"2014-10-30 20:00","1616875"
"2014-10-31 20:00","1624096"
"2014-11-01 20:00","1632170"
"2014-11-02 19:00","1640982"
"2014-11-03 19:00","1649360"
"2014-11-04 19:00","1658119"
"2014-11-05 19:00","1666194"
"2014-11-06 19:00","1673601"
"2014-11-07 19:00","1681042"
"2014-11-08 19:00","1689685"
"2014-11-09 19:00","1698092"
"2014-11-10 19:00","1706661"
"2014-11-11 19:00","1714529"
"2014-11-12 19:00","1722654"
"2014-11-13 19:00","1729947"
"2014-11-14 19:00","1737833"
"2014-11-15 19:00","1746577"
"2014-11-16 19:00","1755235"
"2014-11-17 19:00","1763634"
"2014-11-18 19:00","1772690"
"2014-11-19 19:00","1789481"
"2014-11-20 19:00","1802335"
"2014-11-21 19:00","1809337"
"2014-11-22 19:00","1818063"
"2014-11-23 19:00","1826316"
"2014-11-24 19:00","1834508"
"2014-11-25 19:00","1842133"
"2014-11-26 19:00","1849333"
"2014-11-27 19:00","1856498"
"2014-11-28 19:00","1864097"
"2014-11-29 19:00","1873474"
"2014-11-30 19:00","1882336"
"2014-12-01 19:00","1891243"
"2014-12-02 19:00","1899254"
"2014-12-03 19:00","1907242"
"2014-12-04 19:00","1914635"
"2014-12-05 19:00","1921794"
"2014-12-06 19:00","1929883"
"2014-12-07 19:00","1938790"
"2014-12-08 19:00","1947035"
"2014-12-09 19:00","1954611"
"2014-12-10 19:00","1962036"
"2014-12-11 19:00","1968765"
"2014-12-12 19:00","1975353"
"2014-12-13 19:00","1982790"
"2014-12-14 19:00","1990336"
"2014-12-15 19:00","1997890"
"2014-12-16 19:00","2005137"
"2014-12-17 19:00","2012429"
"2014-12-18 19:00","2018956"
"2014-12-19 19:00","2025489"
"2014-12-20 19:00","2033210"
"2014-12-21 19:00","2040902"
"2014-12-22 19:00","2048107"
"2014-12-23 19:00","2054351"
"2014-12-24 19:00","2060872"
"2014-12-25 19:00","2068059"
"2014-12-26 19:00","2075829"
"2014-12-27 19:00","2084624"
"2014-12-28 19:00","2093536"
"2014-12-29 19:00","2102924"
"2014-12-30 19:00","2110425"
"2014-12-31 19:00","2119362"
"2015-01-01 19:00","2128563"
"2015-01-02 19:00","2137897"
"2015-01-03 19:00","2147695"
"2015-01-04 19:00","2156968"
"2015-01-05 19:00","2167150"
"2015-01-06 19:00","2176221"
"2015-01-07 19:00","2185267"
"2015-01-08 19:00","2193447"
"2015-01-09 19:00","2201692"
"2015-01-10 19:00","2210609"
"2015-01-11 19:00","2219361"
"2015-01-12 19:00","2228396"
"2015-01-13 19:00","2237247"
"2015-01-14 19:00","2246224"
"2015-01-15 19:00","2254332"
"2015-01-16 19:00","2262225"
"2015-01-17 19:00","2271359"
"2015-01-18 19:00","2281797"
"2015-01-19 19:00","2291805"
"2015-01-20 19:00","2301146"
"2015-01-21 19:00","2310200"
"2015-01-22 19:00","2318498"
"2015-01-23 19:00","2326993"
"2015-01-24 19:00","2336283"
"2015-01-25 19:00","2345482"
"2015-01-26 19:00","2355219"
"2015-01-27 19:00","2364609"
"2015-01-28 19:00","2373496"
"2015-01-29 19:00","2381405"
"2015-01-30 19:00","2389883"
"2015-01-31 19:00","2398469"
"2015-02-01 19:00","2407268"
"2015-02-02 19:00","2416398"
"2015-02-03 19:00","2425261"
"2015-02-04 19:00","2433940"
"2015-02-05 19:00","2441258"
"2015-02-06 19:00","2449330"
"2015-02-07 19:00","2458014"
"2015-02-08 19:00","2467468"
"2015-02-09 19:00","2476688"
"2015-02-10 19:00","2485639"
"2015-02-11 19:00","2495250"
"2015-02-12 19:00","2503475"
"2015-02-13 19:00","2511390"
"2015-02-14 19:00","2521130"
"2015-02-15 19:00","2531084"
"2015-02-16 19:00","2541128"
"2015-02-17 19:00","2550263"
"2015-02-18 19:00","2559402"
"2015-02-19 19:00","2567935"
"2015-02-20 19:00","2576815"
"2015-02-21 19:00","2586930"
"2015-02-22 19:00","2596174"
"2015-02-23 19:00","2605545"
"2015-02-24 19:00","2614421"
"2015-02-25 19:00","2622569"
"2015-02-26 19:00","2629918"
"2015-02-27 19:00","2637262"
"2015-02-28 19:00","2645878"
"2015-03-01 19:00","2654621"
"2015-03-02 19:00","2663150"
"2015-03-03 19:00","2671294"
"2015-03-04 19:00","2679402"
"2015-03-05 19:00","2686709"
"2015-03-06 19:00","2702327"
"2015-03-07 19:00","2706333"
"2015-03-08 20:00","2710339"
"2015-03-09 20:00","2718711"
"2015-03-10 20:00","2726418"
"2015-03-11 20:00","2734307"
"2015-03-12 20:00","2741521"
